record_id,conversion_fraud
1000,False
1001,True
1002,True
1006,False
1007,False
1008,False
1008,False
1009,False
1009,False
1010,False
1010,False
1011,False
1012,False
1012,False
1013,False
1013,False
1014,False
1015,False
1015,False
1016,False
1017,False
1018,False
1019,False
1019,False
1021,False
1022,False
1023,False
1024,False
1025,False
1025,False
1026,False
1026,False
1027,False
1027,False
1028,False
1028,False
1029,False
1029,False
1030,False
1030,False
1031,True
1031,False
1031,False
1031,True
1033,False
1033,False
1034,False
1034,False
1035,False
1035,False
1035,False
1036,False
1036,False
1037,False
1037,False
1038,False
1039,False
1040,False
1040,True
1041,False
1041,False
1042,False
1042,False
1042,False
1043,False
1044,False
1045,False
1045,False
1046,False
1046,False
1047,False
1047,False
1048,False
1048,False
1049,False
1049,False
1050,False
1050,False
1051,False
1051,False
1052,False
1052,False
1053,False
1054,False
1056,False
1057,False
1059,False
1062,False
1063,False
1064,False
1065,False
1067,False
1068,False
1071,False
1072,False
1073,False
1075,False
1076,False
1077,False
1078,False
1079,False
1080,False
1082,False
1083,False
1085,False
1086,False
1087,False
1088,False
1090,False
1091,False
1092,False
1093,False
1094,False
1095,False
1097,False
1099,False
1102,False
1103,False
1104,False
1105,False
1106,False
1107,False
1108,False
1109,False
1111,False
1113,False
1114,False
1115,False
1116,False
1118,False
1119,False
1120,False
1121,False
1122,False
1123,False
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,False
1136,False
1138,False
1139,False
1141,False
1144,False
1145,False
1146,False
1149,False
1150,False
1151,False
1152,False
1153,False
1154,False
1155,False
1156,False
1157,False
1159,False
1160,False
1161,False
1162,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,False
1175,False
1176,False
1177,False
1180,False
1182,False
1185,False
1186,False
1187,False
1189,False
1190,False
1191,False
1192,False
1194,False
1196,False
1197,False
1199,False
1200,False
1201,False
1202,False
1203,False
1205,False
1206,False
1209,False
1210,False
1211,False
1212,False
1214,False
1215,False
1216,False
1217,False
1220,False
1221,False
1222,False
1223,False
1225,False
1226,False
1227,False
1229,False
1230,True
1233,False
1235,False
1236,False
1238,False
1239,False
1240,True
1241,False
1242,False
1243,False
1246,False
1248,False
1249,False
1250,False
1251,False
1252,False
1253,False
1255,False
1257,False
1258,False
1260,False
1261,False
1262,False
1263,False
1264,False
1265,False
1266,False
1267,False
1268,False
1269,False
1270,False
1271,False
1272,False
1274,False
1276,False
1277,False
1279,False
1281,False
1282,False
1283,False
1284,False
1285,False
1286,False
1287,False
1288,False
1290,False
1291,False
1292,False
1296,False
1297,False
1298,False
1299,False
1300,False
1302,False
1303,False
1304,False
1306,False
1307,False
1308,False
1312,False
1314,False
1315,False
1316,False
1317,False
1318,False
1320,False
1321,False
1324,False
1326,False
1327,False
1328,False
1332,False
1334,False
1335,False
1336,False
1338,False
1340,False
1341,False
1342,False
1343,False
1347,False
1348,False
1349,False
1351,False
1352,False
1355,False
1356,False
1358,False
1362,False
1363,False
1364,False
1365,False
1366,False
1367,False
1369,False
1370,False
1371,True
1374,False
1375,False
1376,False
1378,False
1379,False
1380,False
1381,False
1383,False
1385,False
1386,False
1387,False
1388,False
1390,False
1391,False
1392,False
1394,False
1395,False
1397,False
1398,False
1399,False
1400,False
1401,False
1403,False
1404,False
1406,False
1407,False
1408,False
1409,False
1412,False
1415,False
1417,False
1418,False
1419,False
1420,False
1421,False
1422,False
1423,False
1425,False
1426,False
1427,False
1428,False
1429,False
1431,False
1433,False
1435,False
1437,False
1438,False
1440,False
1441,False
1442,False
1443,False
1444,True
1445,False
1446,False
1447,False
1449,False
1450,False
1452,False
1453,False
1454,False
